Timeline,Start time,Duration,Row,Instance number,Ungrouped,Notes,Flags
2026-04-05 AIK - Halmstad BK,662.6293993,16.59973788,OFF CORNER,1,"AIK OFF Right Side, Inswing, A2, First Contact Won, 2nd ball, Z. Yohanna, Shot",,
2026-04-05 AIK - Halmstad BK,2461.327742,13.33225288,OFF CORNER,2,"AIK OFF Left Side, Inswing, A2, First Contact Lost, A. Csongvai",,
2026-04-05 AIK - Halmstad BK,1383.526249,12.5527726,OFF SFK,1,"Shot 16m box, AIK OFF Right Side, Outswing, A2, First Contact Won, 2nd ball, A. Csongvai, Shot, Goal",,
2026-04-05 AIK - Halmstad BK,4582.370872,12.380146,OFF SFK,2,"Shot 16m box, AIK OFF Right Side, Outswing, First Contact Won, A1, A. Csongvai, Shot",,
2026-04-05 AIK - Halmstad BK,240.1264389,20.63100388,DEF CORNER,1,"Opp Shot 16m box, AIK DEF Right Side, Inswing, A9, First Contact Lost, Shot",,
2026-04-05 AIK - Halmstad BK,1164.826763,18.11926415,DEF CORNER,2,"AIK DEF Left Side, Outswing, A6, First Contact Won, 2nd ball",,
2026-04-05 AIK - Halmstad BK,5727.870532,14.85974351,DEF CORNER,3,"AIK DEF Right Side, Inswing, A2, First Contact Won, 2nd ball",,
2026-04-05 AIK - Halmstad BK,2900.42501,11.74770861,DEF SFK,1,"Opp Shot 16m box, AIK DEF Left Side, Inswing, First Contact Lost, A3, Shot",,
2026-04-05 AIK - Halmstad BK,4215.270872,9.479599939,DEF SFK,2,"Opp Shot 16m box, AIK DEF Right Side, Outswing, A2, First Contact Lost, Shot",,
2026-04-05 AIK - Halmstad BK,4959.070627,18.10248088,DEF SFK,3,"Opp Shot 16m box, AIK DEF Right Side, Outswing, First Contact Lost, A3, 2nd ball, Goal",,
